Barrio,Cluster,Atropello,Caida Ocupante,Choque,Otro,Volcamiento,Con heridos,Con muertos,Solo danos,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Otro tipo de disenos,Paso Elevado,Puente,Tramo de via,Total de accidentes
Aguas Frias,2,19.0,8.0,36.0,19.0,6.0,66.0,0.0,22.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,72.0,88.0
Aldea Pablo VI,2,25.0,17.0,36.0,5.0,4.0,66.0,1.0,20.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,71.0,87.0
Alejandro Echavarría,1,109.0,113.0,605.0,146.0,60.0,720.0,5.0,308.0,3.0,20.0,193.0,147.0,1.0,0.0,0.0,669.0,1033.0
Alejandría,2,18.0,19.0,542.0,38.0,15.0,198.0,1.0,433.0,1.0,4.0,96.0,88.0,1.0,0.0,1.0,441.0,632.0
Alfonso López,1,153.0,185.0,568.0,193.0,69.0,817.0,5.0,346.0,9.0,0.0,161.0,158.0,1.0,0.0,0.0,839.0,1168.0
Altamira,1,49.0,121.0,503.0,85.0,19.0,475.0,1.0,301.0,9.0,11.0,99.0,116.0,0.0,0.0,0.0,542.0,777.0
Altavista,2,63.0,30.0,216.0,48.0,17.0,224.0,3.0,147.0,2.0,0.0,63.0,40.0,0.0,0.0,0.0,269.0,374.0
Altavista Sector Central,2,40.0,36.0,91.0,43.0,10.0,175.0,5.0,40.0,2.0,0.0,14.0,27.0,0.0,0.0,0.0,177.0,220.0
Altos del Poblado,2,16.0,25.0,233.0,34.0,15.0,165.0,2.0,156.0,1.0,1.0,39.0,34.0,0.0,2.0,0.0,246.0,323.0
Andalucía,2,70.0,36.0,112.0,37.0,14.0,187.0,4.0,78.0,2.0,0.0,26.0,39.0,0.0,0.0,0.0,202.0,269.0
Antonio Nariño,2,38.0,42.0,119.0,47.0,24.0,206.0,1.0,63.0,2.0,0.0,38.0,42.0,0.0,0.0,0.0,188.0,270.0
Aranjuez,2,67.0,58.0,240.0,64.0,24.0,324.0,2.0,127.0,1.0,1.0,80.0,63.0,0.0,0.0,0.0,308.0,453.0
Area De Expansion Altavista,2,4.0,6.0,13.0,3.0,2.0,22.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,22.0,28.0
Area De Expansion Belen Rincon,2,0.0,0.0,11.0,0.0,0.0,2.0,0.0,9.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,11.0
Area de Expansion Altos de Calasanz,2,1.0,0.0,6.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Asomadera No.1,1,29.0,58.0,665.0,80.0,39.0,402.0,5.0,464.0,2.0,0.0,59.0,72.0,0.0,9.0,3.0,726.0,871.0
Asomadera No.2,2,12.0,41.0,488.0,48.0,26.0,225.0,0.0,390.0,3.0,2.0,71.0,52.0,1.0,0.0,0.0,486.0,615.0
Asomadera No.3,2,2.0,8.0,100.0,15.0,8.0,59.0,1.0,73.0,1.0,1.0,11.0,10.0,0.0,0.0,0.0,110.0,133.0
Astorga,2,11.0,2.0,283.0,19.0,8.0,113.0,0.0,210.0,1.0,0.0,129.0,14.0,0.0,0.0,0.0,179.0,323.0
Aures No.1,1,83.0,123.0,221.0,121.0,33.0,456.0,2.0,123.0,0.0,0.0,73.0,113.0,0.0,0.0,0.0,395.0,581.0
Aures No.2,1,90.0,171.0,269.0,152.0,52.0,575.0,2.0,157.0,4.0,1.0,90.0,154.0,0.0,11.0,4.0,470.0,734.0
B. Cerro El Volador,2,32.0,20.0,129.0,29.0,10.0,138.0,2.0,80.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,184.0,220.0
Barrio Caicedo,1,120.0,115.0,606.0,155.0,66.0,674.0,7.0,381.0,7.0,25.0,263.0,123.0,2.0,0.0,3.0,639.0,1062.0
Barrio Colombia,1,58.0,68.0,1021.0,98.0,37.0,557.0,5.0,720.0,1.0,24.0,224.0,90.0,2.0,0.0,0.0,941.0,1282.0
Barrio Colón,3,394.0,210.0,3490.0,296.0,95.0,1778.0,18.0,2689.0,13.0,76.0,948.0,217.0,12.0,76.0,10.0,3133.0,4485.0
Barrio Cristóbal,2,12.0,12.0,129.0,14.0,1.0,93.0,1.0,74.0,2.0,0.0,56.0,11.0,0.0,0.0,0.0,99.0,168.0
Barrio de Jesús,2,70.0,53.0,215.0,57.0,22.0,282.0,6.0,129.0,2.0,0.0,28.0,60.0,0.0,1.0,1.0,325.0,417.0
Barro Blanco,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Batallón Girardot,2,6.0,1.0,5.0,0.0,0.0,10.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,12.0
Belalcázar,2,40.0,48.0,531.0,83.0,21.0,393.0,1.0,329.0,3.0,0.0,28.0,47.0,0.0,0.0,0.0,645.0,723.0
Belencito,2,23.0,20.0,100.0,33.0,5.0,132.0,1.0,48.0,0.0,0.0,14.0,22.0,0.0,0.0,0.0,145.0,181.0
Bello Horizonte,2,60.0,44.0,212.0,35.0,16.0,245.0,2.0,120.0,0.0,0.0,97.0,34.0,0.0,0.0,0.0,236.0,367.0
Belén,3,215.0,161.0,2301.0,221.0,81.0,1253.0,8.0,1718.0,13.0,372.0,470.0,262.0,4.0,1.0,0.0,1857.0,2979.0
Berlín,1,195.0,118.0,535.0,145.0,40.0,702.0,7.0,324.0,4.0,0.0,241.0,129.0,1.0,0.0,0.0,658.0,1033.0
Bermejal-Los Alamos,2,60.0,27.0,124.0,34.0,12.0,184.0,3.0,70.0,0.0,0.0,25.0,44.0,0.0,0.0,1.0,187.0,257.0
Betania,2,26.0,28.0,53.0,18.0,8.0,96.0,2.0,35.0,0.0,1.0,11.0,26.0,0.0,0.0,1.0,94.0,133.0
Blanquizal,2,20.0,9.0,43.0,11.0,4.0,58.0,1.0,28.0,1.0,0.0,3.0,10.0,0.0,0.0,2.0,71.0,87.0
Bolivariana,1,54.0,50.0,660.0,71.0,18.0,401.0,4.0,448.0,4.0,9.0,247.0,105.0,0.0,0.0,0.0,488.0,853.0
Bomboná No.1,1,94.0,69.0,1129.0,105.0,38.0,657.0,7.0,771.0,4.0,0.0,476.0,71.0,0.0,1.0,0.0,883.0,1435.0
Bomboná No.2,2,49.0,48.0,240.0,66.0,31.0,265.0,3.0,166.0,0.0,0.0,48.0,67.0,0.0,0.0,0.0,319.0,434.0
Boqueron,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bosques de San Pablo,2,21.0,37.0,248.0,44.0,8.0,180.0,1.0,177.0,0.0,2.0,57.0,52.0,0.0,0.0,0.0,247.0,358.0
Boston,3,281.0,152.0,2051.0,192.0,85.0,1457.0,13.0,1291.0,8.0,38.0,987.0,199.0,3.0,1.0,1.0,1524.0,2761.0
Boyacá,1,69.0,101.0,430.0,105.0,35.0,478.0,2.0,260.0,2.0,3.0,164.0,120.0,1.0,0.0,0.0,450.0,740.0
Brasilia,1,91.0,61.0,384.0,75.0,31.0,460.0,4.0,178.0,5.0,2.0,183.0,75.0,0.0,0.0,0.0,377.0,642.0
Buenos Aires,1,95.0,87.0,826.0,137.0,45.0,729.0,0.0,461.0,3.0,1.0,446.0,106.0,0.0,0.0,0.0,634.0,1190.0
Buga Patio Bonito,2,14.0,7.0,48.0,11.0,10.0,62.0,0.0,28.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,66.0,90.0
Cabecera San Antonio de Prado,3,497.0,284.0,2442.0,391.0,142.0,2144.0,46.0,1566.0,18.0,12.0,374.0,264.0,28.0,6.0,6.0,3048.0,3756.0
Cabecera Urbana San Cristobal,1,120.0,103.0,333.0,103.0,27.0,476.0,6.0,204.0,2.0,0.0,46.0,95.0,1.0,1.0,2.0,539.0,686.0
Calasanz,1,42.0,76.0,662.0,84.0,14.0,433.0,2.0,443.0,2.0,58.0,301.0,57.0,2.0,1.0,0.0,457.0,878.0
Calasanz Parte Alta,2,25.0,61.0,356.0,61.0,18.0,282.0,1.0,238.0,0.0,0.0,110.0,62.0,0.0,0.0,0.0,349.0,521.0
