Anio,Mes,Dia,Predic_atropello,Predic_choque,Predic_caida,Predic_volcamiento
2019,3,1,11.0,78.0,10.0,3.0
2019,3,2,11.0,72.0,9.0,3.0
2019,3,3,10.0,70.0,9.0,3.0
2019,3,4,10.0,76.0,11.0,3.0
2019,3,5,10.0,78.0,10.0,3.0
2019,3,6,10.0,77.0,10.0,3.0
2019,3,7,10.0,77.0,10.0,3.0
2019,3,8,11.0,78.0,10.0,3.0
2019,3,9,11.0,71.0,9.0,3.0
2019,3,10,10.0,70.0,9.0,3.0
2019,3,11,10.0,76.0,11.0,3.0
2019,3,12,10.0,78.0,10.0,3.0
2019,3,13,10.0,77.0,10.0,3.0
2019,3,14,10.0,77.0,10.0,3.0
2019,3,15,11.0,78.0,10.0,3.0
2019,3,16,11.0,71.0,9.0,3.0
2019,3,17,10.0,70.0,9.0,3.0
2019,3,18,10.0,76.0,11.0,3.0
2019,3,19,10.0,78.0,10.0,3.0
2019,3,20,10.0,77.0,10.0,3.0
2019,3,21,10.0,77.0,10.0,3.0
2019,3,22,11.0,78.0,10.0,3.0
2019,3,23,11.0,71.0,9.0,3.0
2019,3,24,10.0,70.0,9.0,3.0
2019,3,25,10.0,72.0,10.0,3.0
2019,3,26,10.0,78.0,10.0,3.0
2019,3,27,10.0,77.0,10.0,4.0
2019,3,28,10.0,77.0,10.0,4.0
2019,3,29,11.0,78.0,10.0,4.0
2019,3,30,11.0,71.0,9.0,3.0
2019,3,31,10.0,70.0,9.0,3.0
2019,4,1,10.0,77.0,10.0,3.0
2019,4,2,10.0,79.0,10.0,3.0
2019,4,3,10.0,79.0,10.0,3.0
2019,4,4,10.0,78.0,10.0,3.0
2019,4,5,11.0,79.0,10.0,3.0
2019,4,6,11.0,72.0,9.0,3.0
2019,4,7,10.0,71.0,8.0,3.0
2019,4,8,10.0,77.0,10.0,3.0
2019,4,9,10.0,79.0,10.0,3.0
2019,4,10,10.0,79.0,10.0,3.0
2019,4,11,10.0,78.0,10.0,3.0
2019,4,12,11.0,79.0,10.0,3.0
2019,4,13,11.0,72.0,9.0,3.0
2019,4,14,10.0,71.0,8.0,3.0
2019,4,15,10.0,77.0,10.0,4.0
2019,4,16,10.0,79.0,10.0,3.0
2019,4,17,10.0,78.0,10.0,3.0
2019,4,18,10.0,74.0,9.0,3.0
2019,4,19,10.0,76.0,9.0,3.0
2019,4,20,11.0,72.0,9.0,3.0
2019,4,21,10.0,71.0,9.0,3.0
2019,4,22,10.0,77.0,10.0,4.0
2019,4,23,10.0,79.0,10.0,4.0
2019,4,24,10.0,78.0,10.0,4.0
2019,4,25,10.0,78.0,10.0,4.0
2019,4,26,11.0,79.0,10.0,4.0
2019,4,27,11.0,72.0,9.0,3.0
2019,4,28,10.0,71.0,9.0,3.0
2019,4,29,10.0,77.0,10.0,4.0
2019,4,30,10.0,79.0,10.0,4.0
2019,5,1,10.0,76.0,9.0,3.0
2019,5,2,10.0,79.0,10.0,3.0
2019,5,3,11.0,80.0,10.0,3.0
2019,5,4,11.0,73.0,9.0,3.0
2019,5,5,10.0,71.0,9.0,3.0
2019,5,6,10.0,77.0,10.0,4.0
2019,5,7,10.0,80.0,10.0,3.0
2019,5,8,10.0,79.0,10.0,3.0
2019,5,9,10.0,78.0,10.0,3.0
2019,5,10,11.0,80.0,10.0,3.0
2019,5,11,11.0,73.0,9.0,3.0
2019,5,12,10.0,71.0,9.0,3.0
2019,5,13,10.0,77.0,10.0,4.0
